序号,笔记ID,标题,作者,内容类型,点赞数,收藏数,分享数,评论数,封面宽度,封面高度
1,68aa8eb8000000001b01c5cc,只有重庆本地人才懂的美食，私心推荐（无广）,06,,图文,121,87,10,4,1280,1707
2,6804cdbf000000001c033fe9,终于吃上了，原来网友给的配方是真的！！,堆堆美食记,图文,116407,102143,27540,2816,1920,2560
3,676dfa2b000000000b02346e,谁发明的川菜做法~巨好吃,太君美食记,视频,10944,14509,6530,114,1080,1440
4,63baa9a6000000001902268c,重庆解放碑美食！本地人良心分享不踩雷！,二花,图文,31746,35550,17024,494,1440,1920
5,678629a7000000002002a5a3,🧨年夜饭C位菜｜蒜香椒盐烤排骨🔥香到迷糊了,Winnie仔,视频,232005,170804,72322,4925,1084,1445
6,686b473a000000001202e785,🌟【重庆土著整理10家必吃神店清单】🌟,美食地图君,图文,6,6,5,1,1191,1542
7,675c001c000000000700b483,这么好吃的家常小炒，谁发明的真的巨好吃~,太君美食记,视频,17860,8130,4044,87,1080,1920
8,685e4c4a000000001703293a,一周吃三次的小炒菜，做法简单，好吃又下饭,天天爱做菜,视频,4137,6706,2556,34,720,960
9,679f6bbe000000002503deb2,麻酱肥牛泡面🔥浓郁黏糊巨香‼️好吃到无语‼️,土豆超爱吃,视频,35894,17417,12739,775,1440,1920
10,67f63c8d000000001d0165e8,家里老公必会的10道家常菜,小杨爱旅行,视频,3757,4229,2284,19,1080,1440
11,686539ac0000000012015d08,一分钟告诉你，淡季来重庆你会吃到。。。,山城护胃队,视频,26379,9744,4531,531,1440,1920
12,68ab1c2e000000001d00f6cf,在朋友家吃过一次，被惊艳到了,饭饭美食记,视频,3184,2055,696,12,1920,2560
13,67ea4bb7000000001c03078c,百香果柠檬虾🍋香辣过瘾‼️果香清新解腻,小吴又饿了,视频,10435,5728,3354,538,1440,1920
14,689d9e7b000000001b032dc4,开学做给孩子吃的十道经典荤菜‼️,厨神妈妈的美食日记,视频,3091,3245,1393,34,1080,1920
15,68a5790a000000001c013840,讲真的…这才是排骨的天花板做法了吧！！！,蔡师傅美食,视频,11434,11244,4883,154,1080,1920
16,674ff3060000000006014b57,家常菜,弘学美食日记,图文,1769,687,719,90,1200,1600
17,6708ef41000000001a022720,室友睡着了终于可以吃夜宵了😍,西瓜哥,视频,147844,52125,10551,4633,1080,1440
18,6808b95f000000001201fbb4,专门去谢家湾吃的！！！！真的好吃死了！！！,玻璃盒,图文,912,734,1252,155,3024,4032
19,68d2500f000000000b0120c0,讲真的…这才是豆腐的神仙吃法！！！,黄大厨,视频,1295,1346,474,17,1080,1920
20,68c7bf24000000001b01c16f,讲真的…这才是五花肉的天花板做法！！！,蔡师傅美食,视频,7109,7538,2570,128,1080,1920
